Framework,Standardized Rule No,Contextual Title,Atomic Statutory Content
BLA,BLA Section 100,100. Daily working hour.- No adult worker shall ordinarily work or be required to work in an establishment for more than,"100. Daily working hour.- No adult worker shall ordinarily work or be required to work in an establishment for more than 8 (eight) hours in a day: Provided that subject to the provisions of section 108, any such worker may work in an establishment upto 10 (ten) hours also in a day."
BLA,BLA Section 101,101. Interval for rest or meal.- In an establishment no worker shall be liable,101. Interval for rest or meal.- In an establishment no worker shall be liable breaking and welding.
BLA,BLA Section 101(a),101. Interval for rest or meal.- In an establishment no worker shall be liable,"(a) work for more than 6 (six) hours in a day, unless he is given an interval of 1 (one) hour for rest or meal during that day;"
BLA,BLA Section 101(b),101. Interval for rest or meal.- In an establishment no worker shall be liable,"(b) work for more than 5 (five) hours in a day, unless he is given an interval of half an hour for the said purpose during that day; or"
BLA,BLA Section 101(c),101. Interval for rest or meal.- In an establishment no worker shall be liable,"(c) work for more than 8 (eight) hours in a day, unless he is given 1 (one) interval under clause (a) or 2 (two) intervals under clause (b) for the said purpose during that day;"
BLA,BLA Section 101(d),101. Interval for rest or meal.- In an establishment no worker shall be liable,"(d) notwithstanding anything contained in this Act, the Government shall, by rules, prescribe the working and rest hours for various factories wherein the workers are engaged in physically hazardous and laborious work including construction, re-rolling, steel-mills, ship"
BLA,BLA Section 102,102. Weekly working hours.- (1) No adult worker shall ordinarily work or be required to work in an establishment for mor,"102. Weekly working hours.- (1) No adult worker shall ordinarily work or be required to work in an establishment for more than 48 (forty-eight) hours in a week. Provided that the total working hours of such worker shall not exceed 60 (sixty) hours in a week, and on the average 56 (fifty-six) hours per week in a year: Provided further that the total additional working hours of a worker employed in a road transport establishment shall not exceed 150 (one hundred and fifty) hours in a year: Provided further that the Government may, in the cases of some particular industries, under conditions imposed by order in writing, relax the provisions of this section or exempt from the provisions of this section at a time for a period of not exceeding 6 (six) months, if it is satisfied that in the public interest or in the interest of economic development such relaxation or exemption is necessary."
BLA,BLA Section 102(2),102. Weekly working hours.- (1) No adult worker shall ordinarily work or be required to work in an establishment for mor,"(2) Subject to the provisions of section 108, an adult worker may work for more than 48 (forty-eight) hours also in a week:"
BLA,BLA Section 103,103. Weekly holiday.- Every worker employed in an establishment-,103. Weekly holiday.- Every worker employed in an establishment-
BLA,BLA Section 103(a),103. Weekly holiday.- Every worker employed in an establishment-,"(a) shall be entitled to one and a half day holiday in a week in the case of a shop or commercial establishment or an industrial, establishment and one day in a week in the case of a factory and establishment;"
BLA,BLA Section 103(b),103. Weekly holiday.- Every worker employed in an establishment-,(b) shall be entitled to one day of twenty four consecutive hours holiday in a week in the case of road transport establishment;
BLA,BLA Section 103(c),103. Weekly holiday.- Every worker employed in an establishment-,(c) no deduction shall be made from the wages of a worker for any holiday under the aforesaid clauses (a) and (b).
BLA,BLA Section 104,"104. Compensatory weekly holiday.- Where, as a result of the passing of an order or making of a rule under the provision","104. Compensatory weekly holiday.- Where, as a result of the passing of an order or making of a rule under the provisions of this Act exempting an establishment or the workers employed therein from the provisions of section 103, a worker is deprived of any of the weekly holidays provided for in that section, he shall be allowed, as soon as circumstances permit, compensatory holidays of equal number to the holidays so deprived of: Provided that the workers if desire, subject to consultation with the representatives of the collective bargaining agent or participation committee can work on the weekly holiday and such weekly holiday can be added to the festival holiday and enjoy and in such cases there shall not be any overtime allowance for the work on weekly holiday."
BLA,BLA Section 105,105. Spread over.- The period of work of an adult worker in an establishment shall be so arranged that without his inter,"105. Spread over.- The period of work of an adult worker in an establishment shall be so arranged that without his interval for rest or meal under section 101 shall not spread over for more than ten hours, but on the basis of the permission given by the Government either generally or any sector-wise or specially for any establishment, and subject to such conditions as may be imposed by it, exception may be made to the said provision."
BLA,BLA Section 106,106. Night shift.- Where the shift work of an adult worker in an establishment extends beyond midnight-,106. Night shift.- Where the shift work of an adult worker in an establishment extends beyond midnight-
BLA,BLA Section 106(a),106. Night shift.- Where the shift work of an adult worker in an establishment extends beyond midnight-,"(a) for the requirement of section 103, a holiday for a whole day for the worker shall mean 24 (twenty-four) consecutive hours beginning from the end of his shift; and"
BLA,BLA Section 106(b),106. Night shift.- Where the shift work of an adult worker in an establishment extends beyond midnight-,"(b) the following day for him shall mean 24 (twenty-four) consecutive hours beginning from the end of his shift, and the hours he has worked after midnight shall be counted to the hours of his works of the previous day."
BLA,BLA Section 107,107. Restrictions on cumulative hours of work on a vehicle.- No worker shall work or be allowed to work on 1 (one) or mo,107. Restrictions on cumulative hours of work on a vehicle.- No worker shall work or be allowed to work on 1 (one) or more than 1 (one) vehicles in excess of the time permitted under this Act.
BLA,BLA Section 108,108. Extra-allowance for overtime.- (1) Where a worker works for more hours than the hours fixed under this Act in an es,"108. Extra-allowance for overtime.- (1) Where a worker works for more hours than the hours fixed under this Act in an establishment on any day or in a week he shall, for overtime work, be entitled to allowance at the rate of twice his ordinary rate of basic wage and dearness allowance and ad-hoc or interim wage, if any."
BLA,BLA Section 108(2),108. Extra-allowance for overtime.- (1) Where a worker works for more hours than the hours fixed under this Act in an es,(2) Sub-section (1) shall not be applicable for the piece-rate worker
BLA,BLA Section 108(3),108. Extra-allowance for overtime.- (1) Where a worker works for more hours than the hours fixed under this Act in an es,"(3) For ensuring compliance with the provisions of this section, the Government may, by rules, prescribe the register to be maintained by an establishment."
BLA,BLA Section 109,"109. Limited hours of work for woman workers.- No woman worker shall, without her consent, be allowed to work in an esta","109. Limited hours of work for woman workers.- No woman worker shall, without her consent, be allowed to work in an establishment between 10 OfCLOCK at night and 6 OfCLOCK in the morning."
BLA,BLA Section 110,110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on the same day, without permission of the Inspector General and on such conditions as may be imposed by him."
BLA,BLA Section 110(1),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,(1) In every establishment a notice showing the time clearly in writing when the adult workers employed therein are required to work shall be displayed in accordance with the provisions of section 337 and correctly maintained in the establishment.
BLA,BLA Section 110(2),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"(2) The time shown in the notice shall be fixed beforehand in accordance with the provisions of this section, and shall be such as the workers working during such time is not be required to work in contravention of the provisions of sections 100, 101, 102, 103 and 105."
BLA,BLA Section 110(3),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"(3) Where all the adult workers of an establishment are required to work during the same hours, the employer shall fix those hours generally."
BLA,BLA Section 110(4),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"(4) Where all the adult workers of an establishment are not required to work during the same hours, the employer shall divide the workers into groups according to the nature of their work, and fix the number of workers in each group."
BLA,BLA Section 110(5),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"(5) For a group which is not required to work on a shift basis, the employer shall fix the time during which that group is required to work."
BLA,BLA Section 110(6),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"(6) Where any group is required to work on a shift basis, and the relays are not subject to undetermined periodical changes of shifts, the employer shall fix the time when the relay of each such group is required to work."
BLA,BLA Section 110(7),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"(7) Where any group is required to work on a shift basis, and the relays are subject to predetermined periodical changes of shifts, the employer shall draw up a scheme of shifts where the relay of which group is required to work in which time of which day is to be known."
BLA,BLA Section 110(8),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,(8) Two copies of the notice of the hours of work under this section shall be sent for approval to the Labour Inspector before the work in an establishment begins.
BLA,BLA Section 110(9),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"(9) The Labour Inspector shall return a copy of the notice indicating any modification, if necessary, to the employer within one week of its receipt, and the employer shall immediately comply with the modifications, if any, and shall preserve such approval in the records of the establishment."
BLA,BLA Section 110(10),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"(10) If any proposed change in the system of work in an establishment necessitates a change in the notice, 2 (two) copies of the proposed charge shall be sent to the Labour Inspector before such change is made, and no such change shall be made without previous permission of the Labour Inspector."
BLA,BLA Section 110(11),110. Restrictions on double employment.- No adult worker shall be allowed to work in more than 1 (one) establishment on,"(11) If a worker attends to work after half an hour of the time fixed for the work of the day, the employer may refuse to employ the worker for the work of that day."
BLA,BLA Section 112,112. Special age limit for road transport worker.- (1) No person shall be employed as a driver in a road transport estab,112. Special age limit for road transport worker.- (1) No person shall be employed as a driver in a road transport establishment unless he has attained the age of 21 (twenty one) years.
BLA,BLA Section 112(2),112. Special age limit for road transport worker.- (1) No person shall be employed as a driver in a road transport estab,(2) No person shall be employed in such establishment in any other post unless he has attained the age of 18 (eighteen) years.
BLA,BLA Section 113,113. Working hour is to correspond with notice and register.- No adult worker shall work or required to work otherwise t,113. Working hour is to correspond with notice and register.- No adult worker shall work or required to work otherwise than in accordance with the notice under section 111(1) and the entries made beforehand against his name in the register maintained under section 9.
BLA,BLA Section 114,"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for at least one and a half day in each week. Provided that the Inspector General may, from time to time, in the public interest, re-fix such fixed day for any area. Provided that if any customer is in a shop for buying such customer may be given an opportunity for buying till 30 (thirty) minutes following such closing hour. Provided that where several trades or business are carried on in the same shop or commercial establishment and the majority of them, by their nature, are eligible to exemption from this section, such exemption shall apply to the entire shop or commercial establishment: Provided further that the Inspector General may, by a general or special order, published in the official Gazette, fix the opening and closing hours for any aforesaid establishments or class of establishment."
BLA,BLA Section 114(2),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a",(2) The Inspector General shall fix which one and a half day in which area such establishments shall remain entirely closed:
BLA,BLA Section 114(3),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a",(3) No shop shall remain open after 8.00 OfCLOCK at night on any day:
BLA,BLA Section 114(4),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","(4) The Government may, in consideration of special circumstances, by notifications in the official Gazette, alter the closing hours of shops in any area in any season on such conditions as may be mentioned in the notice."
BLA,BLA Section 114(5),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","(5) The provisions of this section shall not apply to the following cases, namely:-"
BLA,BLA Section 114(a),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","(a) docks, jetty, stations or airports and terminal offices of transport services;"
BLA,BLA Section 114(b),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","(b) shops dealing mainly in vegetables, meat, fish, dairy products, bread, pastries, sweetmeats and flowers;"
BLA,BLA Section 114(c),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","(c) shops dealing mainly in medicines, surgical appliances, bandages or other medical requisites;"
BLA,BLA Section 114(d),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a",(d) shops dealing in articles for funerals or cremation;
BLA,BLA Section 114(e),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","(e) shops dealing mainly in tobacco, cigars, cigarettes, bidi, pan, ice, newspapers, periodicals and retail shops for selling light tiffin to be eaten sitting in the shops;"
BLA,BLA Section 114(f),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a",(f) petrol pumps for the retail sale of the petrol and automobile service stations not being repair workshops;
BLA,BLA Section 114(g),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a",(g) shops of barbers and hair dressers;
BLA,BLA Section 114(h),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a",(h) any system of public conservancy or sanitation;
BLA,BLA Section 114(i),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","(i) any industry, business or establishment which supplies power, light or water to the public;"
BLA,BLA Section 114(j),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","(j) clubs, hotels, restaurants, catering houses, cinemas or theatres:"
BLA,BLA Section 114(6),"114. Closure of shops, etc.- (1) Every shop or commercial or industrial establishment shall remain entirely closed for a","(6) If any shop or commercial establishment mentioned in sub-section (5) exists in a market or shopping mall, the provisions of sub-section (1) shall apply to such shop or establishment."
BLA,BLA Section 115,"115. Casual leave.- Every worker shall be entitled to casual leave for 10 (ten) days with full wages in a calendar year,","115. Casual leave.- Every worker shall be entitled to casual leave for 10 (ten) days with full wages in a calendar year, and if such leave is not availed for any reason, it shall not be accumulated and the leave of any year shall not be availed in the succeeding year: Provided that nothing in this section shall apply to a worker employed in a tea plantation."
BLA,BLA Section 116,"116. Sick leave.- (1) Except a newspaper worker, every worker shall be entitled to sick leave with full wages for 14 (fo","116. Sick leave.- (1) Except a newspaper worker, every worker shall be entitled to sick leave with full wages for 14 (fourteen) days in a calendar year."
BLA,BLA Section 116(2),"116. Sick leave.- (1) Except a newspaper worker, every worker shall be entitled to sick leave with full wages for 14 (fo",(2) Every newspaper worker shall be entitled to sick leave with half wages for not less than one-eighteenth of the period of his service.
BLA,BLA Section 116(3),"116. Sick leave.- (1) Except a newspaper worker, every worker shall be entitled to sick leave with full wages for 14 (fo","(3) No such leave shall be granted unless a registered medical practitioner appointed by the employer or, in the absence of such medical practitioner, any other registered medical practitioner, after examination, certifies that the worker is ill and requires leave for treatment or cure for such period as is mentioned in the certificate."
BLA,BLA Section 116(4),"116. Sick leave.- (1) Except a newspaper worker, every worker shall be entitled to sick leave with full wages for 14 (fo",(4) Such leave shall not be accumulated and carried forward to the succeeding years.
BLA,BLA Section 117,117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establishment shall be allowed during the following period of 12 (twelve) monthsf leave with wages for days calculated on the basis of the works of the preceding 12 (twelve) months at the following rate, namely:-"
BLA,BLA Section 117(a),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"(a) 1 (one) day for every 18 (eighteen) days of work, in the case of a shop or commercial or industrial establishment or factory or road transport establishment; (a) 1 (one) day for every 15 (fifteen) days of work, in the case of a factory; (a) 40 (forty) days in the case of a factory or road transport establishment; (a) 60 (sixty) days in the case of a factory or tea plantation; (a) any holiday;"
BLA,BLA Section 117(b),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"(b) 1 (one) day for every 22 (twenty two) days of work, in the case of tea plantation; (b) 1 (one) day for every 18 (eighteen) days of work, in the case of a tea plantation; (b) 60 (sixty) days in the case of a tea plantation or shop or commercial or industrial establishment. (b) 80 (eighty) days in the case of a shop or commercial or industrial establishment. (b) any leave with wages;"
BLA,BLA Section 117(c),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"(c) 1 (one) day for every 11 (eleven) days of work, in the case of a newspaper worker. (c) 1 (one) day for every 14 (fourteen) days of work, in the case of a shop or commercial or industrial establishment. (c) any leave with or without wages due to sickness or accident;"
BLA,BLA Section 117(2),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"(2) Every adolescent worker who has completed 1 (one) year of continuous service in an establishment shall be allowed during the subsequent period of 12 (twelve) monthsf leave with wages for a number of days calculated for the works of previous 12 (twelve) months at the following rate, namely:-"
BLA,BLA Section 117(3),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,(3) If any holiday occurs into the leave granted under this section shall be included in such leave.
BLA,BLA Section 117(4),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"(4) If a worker does not, in any period of 12 (twelve) months, take the leave either in whole or in part, to which he is entitled under sub-sections (1) or (2), such leave shall be added to the leave which he is entitled to in the succeeding period of 12 (twelve) months."
BLA,BLA Section 117(5),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"(5) Notwithstanding anything contained in sub-section (4), an adult worker shall cease to earn any leave under this section, when the earned leave due to him amounts to-"
BLA,BLA Section 117(6),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"(6) Notwithstanding anything contained in sub-section (4), an adolescent worker shall cease to earn any leave under this section when the earned leave due to him amounts to-"
BLA,BLA Section 117(7),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"(7) If a worker applies for earned leave and is refused by the employer for any reason, such refused leave shall be added to the credit of such worker beyond the limit mentioned in sub-section (5) or (6)."
BLA,BLA Section 117(8),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,"(8) For the purposes of this section, a worker shall be deemed to have completed a period of continuous service in an establishment notwithstanding any interruption in service during that period occurred due to-"
BLA,BLA Section 117(d),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,(d) any maternity leave not exceeding 16 (sixteen) weeks;
BLA,BLA Section 117(e),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,(e) any period of lay-off;
BLA,BLA Section 117(f),117. Annual leave with wages.- (1) Every adult worker who has completed 1 (one) year of continuous service in an establi,(f) any legal strike or any illegal lock-out.
BLA,BLA Section 118,118. Festival holidays.- (1) Every worker shall be allowed in a calendar year 11 (eleven) days of festival holiday with,118. Festival holidays.- (1) Every worker shall be allowed in a calendar year 11 (eleven) days of festival holiday with wages.
BLA,BLA Section 118(2),118. Festival holidays.- (1) Every worker shall be allowed in a calendar year 11 (eleven) days of festival holiday with,(2) The employer shall fix the day and dates of such leave in such manner as may be prescribed by rules.
BLA,BLA Section 118(3),118. Festival holidays.- (1) Every worker shall be allowed in a calendar year 11 (eleven) days of festival holiday with,"(3) A worker may be required to work on any festival holiday, but one day substitute holiday and two daysf compensatory wages shall be provided for him."
BLA,BLA Section 119,119. Calculation of wages and payment thereof during the period of leave or holiday.- (1) For the leave or holidays allo,"119. Calculation of wages and payment thereof during the period of leave or holiday.- (1) For the leave or holidays allowed to a worker under this Act, he shall be paid at the rate equal to the daily average of his full time wages, dearness allowances, and ad-hoc or interim wage, if any, except any overtime allowance and bonus for the days on which he worked during the month immediately preceding his leave: Provided that if a worker in any establishment is entitled to cash in lieu of any advantage of supply of food grains, it shall be included in his wages. WAGES AND PAYMENT THEREOF"
BLA,BLA Section 119(2),119. Calculation of wages and payment thereof during the period of leave or holiday.- (1) For the leave or holidays allo,"(2) If an adult worker is allowed annual leave for a period of not less than 4 (four) days and an adolescent worker for period of not less than 5 (five) days, at a time, he shall, in so far as it is practicable, be paid his wages for the period of the leave so allowed, before his leave begins."
BLA,BLA Section 120,"120. Special definition of wages.- Unless there is anything repugnant in the subject or context, in this Chapter, ""wages","120. Special definition of wages.- Unless there is anything repugnant in the subject or context, in this Chapter, ""wages"" means the wages as defined in section 2(45), and also includes the following dues, namely:-"
BLA,BLA Section 120(a),"120. Special definition of wages.- Unless there is anything repugnant in the subject or context, in this Chapter, ""wages",(a) any bonus or other additional remuneration payable under the terms of employment;
BLA,BLA Section 120(b),"120. Special definition of wages.- Unless there is anything repugnant in the subject or context, in this Chapter, ""wages","(b) any remuneration payable for leave, holiday or overtime work;"
BLA,BLA Section 120(c),"120. Special definition of wages.- Unless there is anything repugnant in the subject or context, in this Chapter, ""wages",(c) any remuneration payable under order of any Court or any award or settlement between the parties;
BLA,BLA Section 120(d),"120. Special definition of wages.- Unless there is anything repugnant in the subject or context, in this Chapter, ""wages","(d) any sum payable under any agreement or this Act for the reason of termination of employment, whether by way of retrenchment, discharge, removal, resignation, retirement, dismissal or by whatever means; and"
BLA,BLA Section 120(e),"120. Special definition of wages.- Unless there is anything repugnant in the subject or context, in this Chapter, ""wages",(e) any sum payable due to lay-off or suspension.
BLA,BLA Section 121,121. Responsibility for payment of wages.- Every employer shall be liable to pay to workers employed by him all wages re,"121. Responsibility for payment of wages.- Every employer shall be liable to pay to workers employed by him all wages required to be paid under this Act: Provided that in the case of all other workers, except any worker employed by a contractor, the Chief Executive Officer, the manager or any other person responsible to the employer for the supervision and control of an establishment shall also be liable for such payment: Provided further that if the wages of a worker employed by the contractor is not paid by the contractor, the wages of such worker shall be paid by the employer of the establishment, and the same shall be adjusted from the contractor."
BLA,BLA Section 122,122. Fixation of wage-periods.- (1) Every person liable for the payment of wages under section 121 shall fix wage period,122. Fixation of wage-periods.- (1) Every person liable for the payment of wages under section 121 shall fix wage periods in respect of such payment.
BLA,BLA Section 122(2),122. Fixation of wage-periods.- (1) Every person liable for the payment of wages under section 121 shall fix wage period,(2) No wage period shall exceed 1 (one) month.
BLA,BLA Section 123,123. Time of payment of wages.- (1) The wages of a worker shall be paid before the expiry of the seventh working day fol,123. Time of payment of wages.- (1) The wages of a worker shall be paid before the expiry of the seventh working day following the last day of the wage period in respect of which the wages is payable.
BLA,BLA Section 123(2),123. Time of payment of wages.- (1) The wages of a worker shall be paid before the expiry of the seventh working day fol,"(2) Where the employment of a worker is terminated by retirement or by his retrenchment, discharge, removal by the employer or by termination of employment by the worker or otherwise, all wages payable to him shall be paid before the expiry of the thirtieth working day following the day of termination of his employment."
BLA,BLA Section 123(3),123. Time of payment of wages.- (1) The wages of a worker shall be paid before the expiry of the seventh working day fol,(3) All wages shall be paid on the working day.
BLA,BLA Section 124,"124. Wages to be paid in current coin or currency notes, etc.- (1) All wages shall be paid in current coin or currency n","124. Wages to be paid in current coin or currency notes, etc.- (1) All wages shall be paid in current coin or currency notes or bank cheque. 124A. Payment of wages and other dues through conciliation.- (1) An application may be made to the Inspector General or an officer authorized by him in this behalf for getting the wages and other legal dues of a worker or workers through conciliation at any stage of his or their employment including at the time of employment or under retirement or on termination or dismissal of employment, etc."
BLA,BLA Section 124(2),"124. Wages to be paid in current coin or currency notes, etc.- (1) All wages shall be paid in current coin or currency n","(2) Besides the manner mentioned in sub-section (1), where applicable, as per demand of a worker the wages may be paid directly through electronic transfer or any other digital manner to the bank account of such worker. (2) On receipt of such an application, the Inspector General or the officer authorized by him in this behalf shall take measures, within a period of not exceeding"
BLA,BLA Section 20,"20 (twenty) days, to settle the claim raised, through discussion or conciliation meetings with the employer or authority","20 (twenty) days, to settle the claim raised, through discussion or conciliation meetings with the employer or authority concerned."
BLA,BLA Section 20(3),"20 (twenty) days, to settle the claim raised, through discussion or conciliation meetings with the employer or authority","(3) In settling the claim raised under this section, the Inspector General or the officer authorized by him in this behalf shall act as a conciliator in taking initiative and holding discussion or conciliation meeting."
BLA,BLA Section 20(4),"20 (twenty) days, to settle the claim raised, through discussion or conciliation meetings with the employer or authority",(4) The unanimous decision of such discussion or conciliation meetings shall be binding upon all the parties.
BLA,BLA Section 20(5),"20 (twenty) days, to settle the claim raised, through discussion or conciliation meetings with the employer or authority",(5) The decision of the conciliator taken in the discussion or conciliation meetings held under this section shall be given in writing to both the parties.
BLA,BLA Section 20(6),"20 (twenty) days, to settle the claim raised, through discussion or conciliation meetings with the employer or authority","(6) After completion of the conciliatory measures by the conciliator under this section, if both or either parties of the worker and employer do not agree to comply with his decision, the party concerned or both the parties may file a suit in the Labour Court for settlement of the issue and the Labour Court shall, while trying the suit, take into consideration the decision of the conciliator."
BLA,BLA Section 125,"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s","125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction shall be made from the wages of a worker."
BLA,BLA Section 125(2),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s","(2) Deductions from the basic wages of a worker may be made only in accordance with the provisions of this Act, and such deduction shall be of the following kinds only, namely:-"
BLA,BLA Section 125(a),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s",(a) fines imposed under section 25;
BLA,BLA Section 125(b),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s",(b) deductions for unauthorized absence from duty;
BLA,BLA Section 125(c),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s","(c) deductions for damage to or loss of any goods given under the custody of a worker or for loss of money for which he is liable to account, where such damage or loss is directly attributable to his neglect or default;"
BLA,BLA Section 125(d),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s",(d) deductions for house-accommodation provided by the employer;
BLA,BLA Section 125(e),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s","(e) deductions for facilities and service approved by the Government and provided by the employer, other than the raw materials and equipments used for the requirement of employment;"
BLA,BLA Section 125(f),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s",(f) deductions for recovery of advances or loans or adjustment of overpayments of wages;
BLA,BLA Section 125(g),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s",(g) deductions of income-tax payable by the worker;
BLA,BLA Section 125(h),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s",(h) deductions by order of a Court or deduction by order of any authority competent to make such order of deduction;
BLA,BLA Section 125(i),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s","(i) deductions for subscriptions to and for payment of advances from any provident fund to which the Provident Funds Act, 1925 (Act No. XIX of 1925) applies or any recognized provident fund as defined in the Income-tax Ordinance, 1984 (Ordinance No. XXXVI of 1984) or any other provident fund approved by the Government;"
BLA,BLA Section 125(j),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s",(j) deductions for payment to any co-operative society approved by the Government or to an insurance scheme maintained by the Bangladesh Postal Department or any Government Insurance Company;
BLA,BLA Section 125(k),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s",(k) deductions made with the written consent of the workers for the contribution to any fund or scheme constituted or framed by the employer with the approval of the Government for the welfare of the workers or the members of their families; and
BLA,BLA Section 125(l),"125. Deductions which may be made from wages.- (1) Except the cases for deduction authorized by this Act, no deduction s",(l) deduction of subscription for the CBA Union through check-off system.
BLA,BLA Section 126,126. Deductions from wages for absence from duty.- (1) Deductions from wages of a worker for absence from the place of w,"126. Deductions from wages for absence from duty.- (1) Deductions from wages of a worker for absence from the place of worker under section 125(2)(b)may be made only, when he, by the terms of his employment, is required to work, but he is absent for the whole or any part thereof. Provided that, subject to any rules made in this behalf by the Government, if ten or more workers in a body absent themselves from work without notice and reasonable cause, wages of not exceeding eight days may also be added to the deduction from wages from every such worker which is payable to the employer in lieu of notice by the terms of his employment. Explanation.- For the purposes of this section, a worker shall be deemed to be absent from the place of work if he, being present in such place, refuses to work in pursuance of a stay-in-strike or for any other unreasonable cause. It shall also be applicable to an officer of the trade union."
BLA,BLA Section 126(2),126. Deductions from wages for absence from duty.- (1) Deductions from wages of a worker for absence from the place of w,"(2) The amount of such deduction shall, in no case, be more than the amount of wages payable to him for the period of absence:"
BLA,BLA Section 127,127. Deductions from wages for damage or loss.- (1) Any deduction under section 125(2) (c) shall not exceed the amount o,"127. Deductions from wages for damage or loss.- (1) Any deduction under section 125(2) (c) shall not exceed the amount of the damage or loss caused to the employer by neglect or default of the concerned worker, and such deduction shall not be made until the worker is found guilty through proper enquiry in compliance with the principles of natural justice."
BLA,BLA Section 127(2),127. Deductions from wages for damage or loss.- (1) Any deduction under section 125(2) (c) shall not exceed the amount o,(2) All such deductions and all realizations relating thereto shall be recorded in such register as may be prescribed by rules by the person responsible for the payment of wages.
